clcage	sexe	poids	taille	p.mere	t.mere	p.pere	t.pere
17	2	58	1.72	56	1.64	67	1.68
17	2	56	1.69	50	1.62	72	1.78
18	2	55	1.7	60	1.65	84	1.76
18	2	53	1.64	52	1.65	65	1.7
18	2	55	1.58	75	1.63	98	1.72
20	2	48	1.6	50	1.62	65	1.75
21	2	48	1.65	48	1.61	72	1.78
21	2	45	1.58	43	1.52	61	1.62
22	2	55	1.68	51	1.58	87	1.9
23	2	60	1.7	63	1.69	80	1.83
24	2	56	1.69	54	1.65	72	1.76
24	2	57	1.68	62	1.67	76	1.71
25	2	62	1.71	61	1.64	74	1.74
25	2	52	1.64	54	1.62	70	1.72
25	2	52	1.68	50	1.58	73	1.71
31	2	56	1.63	61	1.64	74	1.74
47	2	50	1.62	58	1.62	63	1.65
17	1	65	1.78	51	1.58	87	1.9
17	1	72	1.8	43	1.58	78	1.69
18	1	60	1.75	60	1.65	80	1.75
18	1	85	1.85	70	1.68	85	1.78
19	1	63	1.8	54	1.64	75	1.74
19	1	70	1.8	60	1.65	80	1.75
19	1	57	1.69	46	1.49	65	1.59
20	1	73	1.83	53	1.67	76	1.81
20	1	75	1.75	51	1.62	72	1.69
20	1	60	1.7	54	1.62	70	1.72
20	1	75	1.84	62	1.75	80	1.78
20	1	65	1.75	45	1.55	75	1.65
20	1	80	1.69	75	1.63	98	1.72
21	1	70	1.81	65	1.69	80	1.83
21	1	68	1.83	56	1.64	67	1.68
21	1	70	1.83	61	1.7	80	1.82
21	1	64	1.72	54	1.64	75	1.74
21	1	80	1.84	60	1.65	84	1.76
21	1	73	1.83	50	1.62	72	1.78
21	1	77	1.73	61	1.64	74	1.74
21	1	73	1.84	60	1.75	80	1.82
21	1	74	1.81	58	1.68	72	1.72
21	1	65	1.8	60	1.65	80	1.75
21	1	80	1.84	70	1.68	85	1.78
21	1	58	1.8	54	1.65	72	1.76
21	1	87	1.85	63	1.69	80	1.83
21	1	72	1.79	50	1.6	79	1.8
21	1	74	1.82	62	1.67	76	1.71
21	1	56	1.68	46	1.49	65	1.59
21	1	69	1.79	48	1.58	65	1.7
21	1	61	1.73	54	1.64	67	1.68
21	1	68	1.78	60	1.6	72	1.76
21	1	52	1.67	54	1.61	75	1.68
21	1	52	1.67	54	1.61	75	1.68
22	1	77	1.87	65	1.69	80	1.83
22	1	63	1.74	63	1.72	78	1.7
22	1	58	1.72	43	1.58	78	1.69
22	1	60	1.75	43	1.52	61	1.62
22	1	62	1.73	50	1.58	73	1.71
22	1	65	1.73	52	1.65	65	1.7
23	1	60	1.7	46	1.49	65	1.59
24	1	73	1.8	58	1.68	72	1.72
24	1	67	1.75	50	1.6	79	1.8
25	1	79	1.9	63	1.72	78	1.7
25	1	75	1.8	60	1.75	80	1.82
25	1	75	1.8	70	1.68	85	1.78
25	1	67	1.75	54	1.64	67	1.68
27	1	78	1.84	63	1.69	80	1.83
27	1	78	1.85	62	1.67	76	1.71
31	1	95	1.92	48	1.61	72	1.78
47	1	72	1.78	61	1.63	85	1.68
